"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.838057400E-2,1.130608693E-1,9.638289452E0,3.348456144E0
4.332166800E-2,1.680957973E-1,9.616754532E0,3.228815079E0
4.822026200E-2,2.231307179E-1,9.573683739E0,3.082553864E0
5.306911600E-2,2.733799815E-1,9.511469841E0,2.970091105E0
5.796541800E-2,2.973082066E-1,9.446864128E0,2.927020311E0
6.290656400E-2,3.571287692E-1,9.439684868E0,2.919841766E0
6.775802200E-2,3.284149170E-1,9.403793335E0,2.881556749E0
7.267255400E-2,3.523431420E-1,9.362815857E0,2.871985435E0
7.755067900E-2,4.265206456E-1,9.281459808E0,2.857628345E0
8.249187600E-2,4.743770957E-1,9.202496529E0,2.922234535E0
8.738843900E-2,4.767699242E-1,9.200103760E0,2.903092146E0
9.223963700E-2,4.576273263E-1,9.214461327E0,2.821736097E0
9.713593900E-2,4.624129832E-1,9.238389015E0,2.764308453E0
1.020322930E-1,4.815555513E-1,9.245567322E0,2.728415966E0
1.069470330E-1,4.528416991E-1,9.262317657E0,2.814557552E0
1.118248970E-1,4.241278172E-1,9.255139351E0,2.903092146E0
1.167211990E-1,4.169493318E-1,9.262317657E0,2.922234535E0
1.216175540E-1,3.523431420E-1,9.262317657E0,2.903092146E0
1.265589600E-1,3.164508045E-1,9.286245346E0,2.898306370E0
1.314550540E-1,3.140579760E-1,9.262317657E0,2.931805849E0
1.363065120E-1,3.595215976E-1,9.212067604E0,2.917448997E0
1.412028140E-1,3.978067636E-1,9.152247429E0,2.831307411E0
1.460991160E-1,3.858426511E-1,9.152247429E0,2.704487801E0
1.510135950E-1,4.121637046E-1,9.140283585E0,2.601297379E0
1.558917720E-1,4.025924206E-1,9.101998329E0,2.603690147E0
1.607880740E-1,4.001995921E-1,9.149854660E0,2.723630428E0
1.656843760E-1,3.738785386E-1,9.190532684E0,2.833700180E0
1.705989080E-1,3.619144261E-1,9.238389015E0,2.821736097E0
1.754770330E-1,3.212364316E-1,9.271888733E0,2.740380049E0
1.803772410E-1,2.997010350E-1,9.295816422E0,2.711666346E0
1.852696890E-1,3.355933726E-1,9.279067039E0,2.759522676E0
1.901841680E-1,3.930211067E-1,9.238389015E0,2.804986238E0
1.950622930E-1,4.217349887E-1,9.252745628E0,2.797807932E0
1.999585950E-1,3.810569942E-1,9.302995682E0,2.785843849E0
2.048549490E-1,3.308077157E-1,9.346066475E0,2.812164783E0
2.097512510E-1,3.667000830E-1,9.286245346E0,2.922234535E0
2.146475540E-1,4.025924206E-1,9.200103760E0,3.051447153E0
2.195439080E-1,3.954139352E-1,9.202496529E0,3.120838881E0
2.244402100E-1,3.164508045E-1,9.310173988E0,3.108874798E0
2.293365120E-1,2.781656384E-1,9.379565239E0,3.147160053E0
2.342328660E-1,2.757728100E-1,9.418149948E0,3.257529020E0
2.392258870E-1,3.164508045E-1,9.451649666E0,3.358027458E0
2.440254180E-1,2.925225794E-1,9.501898766E0,3.386741400E0
2.489217720E-1,3.092723191E-1,9.525827408E0,3.355634689E0
2.538181260E-1,3.188436031E-1,9.516255379E0,3.305385351E0
2.587144290E-1,3.355933726E-1,9.497113228E0,3.307778120E0
2.636107310E-1,3.140579760E-1,9.458827972E0,3.274278641E0
2.685070850E-1,3.068794906E-1,9.418149948E0,3.159124136E0
2.734033870E-1,3.140579760E-1,9.348459244E0,2.977269650E0
2.782996890E-1,2.709871531E-1,9.288638115E0,2.883949518E0
2.831960430E-1,2.853440940E-1,9.202496529E0,2.862414122E0
2.880923450E-1,3.116651475E-1,9.080462456E0,2.848057270E0
2.929886470E-1,3.164508045E-1,8.946464539E0,2.757129908E0
2.978849490E-1,3.427718580E-1,8.869894028E0,2.632404089E0
3.027813040E-1,3.762713671E-1,8.860322952E0,2.541476727E0
3.076776060E-1,4.025924206E-1,8.869894028E0,2.426621199E0
3.125739080E-1,4.265206456E-1,8.872286797E0,2.304587364E0
3.174702620E-1,4.217349887E-1,8.889037132E0,2.239981174E0
3.223665640E-1,4.193421602E-1,8.901000977E0,2.237588167E0
3.272628660E-1,4.097708762E-1,8.886644363E0,2.230409861E0
3.321592200E-1,3.619144261E-1,8.881858826E0,2.153839588E0
3.370555220E-1,2.781656384E-1,8.893822670E0,2.175374985E0
3.419518240E-1,2.398804724E-1,8.896215439E0,2.323729992E0
3.468481790E-1,1.824527234E-1,8.862715721E0,2.464906454E0
3.517444810E-1,1.202393398E-1,8.881858826E0,2.531905413E0
3.566407830E-1,5.084748194E-2,8.905786514E0,2.505584478E0
3.615370850E-1,7.776673418E-3,8.953642845E0,2.421835661E0
3.664334390E-1,-1.794616925E-3,8.975178719E0,2.395514488E0
3.713481790E-1,-6.161518395E-2,8.975178719E0,2.579761982E0
3.762260430E-1,-8.584251255E-2,8.929715157E0,3.111267567E0
3.811223970E-1,-1.217348501E-1,8.912964821E0,3.716950893E0
3.860186990E-1,-2.222333997E-1,8.948857307E0,4.121636868E0
