"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.155255400E-2,-1.449235082E-1,-9.521581978E-2,-3.619270027E-2
7.643067900E-2,-1.406475753E-1,-6.772769243E-2,-4.169032723E-2
8.137187600E-2,-1.388150454E-1,-5.062396824E-2,-4.963133857E-2
8.626843900E-2,-1.375933439E-1,-4.634803534E-2,-6.123743951E-2
9.111963700E-2,-1.382041872E-1,-4.756972939E-2,-6.917845458E-2
9.601593900E-2,-1.382041872E-1,-4.451549426E-2,-7.467607409E-2
1.009122930E-1,-1.351499557E-1,-3.657447919E-2,-7.956285775E-2
1.058270330E-1,-1.265980899E-1,-2.191414498E-2,-8.139539510E-2
1.107048970E-1,-1.119377613E-1,-9.697199799E-3,-8.322793990E-2
1.156011990E-1,-9.483403713E-2,-6.642963737E-3,-8.017370105E-2
1.204975540E-1,-8.078455180E-2,-1.763821393E-2,-7.711946964E-2
1.254389600E-1,-6.612421572E-2,-2.985516004E-2,-7.284353673E-2
1.303350540E-1,-4.963133857E-2,-3.962871432E-2,-6.795676053E-2
1.351865120E-1,-3.191677108E-2,-5.001311749E-2,-6.429167092E-2
1.400828140E-1,-1.542389300E-2,-6.039752439E-2,-6.490252167E-2
1.449791160E-1,-4.428642802E-3,-6.956022978E-2,-6.856760383E-2
1.498935950E-1,4.581354442E-4,-7.078192383E-2,-7.223268598E-2
1.547717720E-1,3.512371797E-3,-6.772769243E-2,-7.528692484E-2
1.596680740E-1,9.620844387E-3,-6.284090877E-2,-7.773031294E-2
1.645643760E-1,2.367033064E-2,-5.917582661E-2,-8.139539510E-2
1.694789080E-1,4.260659590E-2,-5.673243850E-2,-8.261708915E-2
1.743570330E-1,6.032116711E-2,-5.245650932E-2,-8.261708915E-2
1.792572410E-1,7.498150319E-2,-4.023956135E-2,-7.773031294E-2
1.841496890E-1,8.719844371E-2,-2.435753495E-2,-7.040014863E-2
1.890641680E-1,9.941539168E-2,-1.336228382E-2,-6.612421572E-2
1.939422930E-1,1.104106456E-1,-4.199574701E-3,-6.795676053E-2
1.988385950E-1,1.201841980E-1,7.406522986E-3,-7.223268598E-2
2.037349490E-1,1.269035190E-1,2.451024577E-2,-7.589777559E-2
2.086312510E-1,1.317902952E-1,3.917058185E-2,-7.773031294E-2
2.135275540E-1,1.360662282E-1,4.344651103E-2,-8.017370105E-2
