"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.601593900E-2,0.000000000E0,0.000000000E0,0.000000000E0
1.009122930E-1,3.934979439E-3,1.281642914E-2,-3.173637390E-2
1.058270330E-1,1.764988899E-2,1.437282562E-2,-4.889178276E-2
1.107048970E-1,-5.598813295E-3,2.434635162E-2,2.420878410E-2
1.156011990E-1,-2.463546395E-2,1.462459564E-2,8.681344986E-2
1.204975540E-1,-2.381151915E-2,1.896095276E-2,8.529233932E-2
1.254389600E-1,-7.332488894E-2,1.691150665E-2,5.415844917E-2
1.303350540E-1,-9.337571263E-2,3.622913361E-2,4.130601883E-2
1.351865120E-1,-8.318209648E-2,1.120376587E-2,6.532573700E-2
1.400828140E-1,-3.204354644E-2,-3.508281708E-2,4.534244537E-2
1.449791160E-1,7.624179125E-3,-8.636760712E-2,-3.719258308E-2
1.498935950E-1,-1.894086599E-3,-7.930183411E-2,-1.502625942E-1
1.547717720E-1,2.481842041E-2,-8.442783356E-2,-2.334666252E-1
1.596680740E-1,1.660192013E-2,-1.142263412E-1,-2.140522003E-1
1.645643760E-1,1.592531800E-2,-6.236934662E-2,-8.695578575E-2
1.694789080E-1,-6.988435984E-3,-2.101421356E-2,2.363371849E-2
1.743570330E-1,-1.502755284E-2,2.436542511E-2,1.362037659E-2
1.792572410E-1,-4.984074831E-2,5.355834961E-2,-6.074500084E-2
1.841496890E-1,-6.493988633E-2,7.216930389E-2,-8.099627495E-2
1.890641680E-1,-2.490499616E-2,5.123329163E-2,-2.715373039E-2
1.939422930E-1,3.386086226E-2,8.490562439E-3,2.220320702E-2
1.988385950E-1,6.295585632E-2,2.013492584E-2,1.951169968E-2
2.037349490E-1,2.488762140E-2,6.557273865E-2,1.266121864E-2
2.086312510E-1,-2.045354247E-2,1.022958755E-1,4.302048683E-2
2.135275540E-1,1.888680458E-2,3.884410858E-2,1.528656483E-1
2.184239080E-1,5.679428577E-2,-4.741001129E-2,2.770938873E-1
2.233202100E-1,5.153104663E-2,-4.511547089E-2,3.391206264E-1
2.282165120E-1,-2.356699109E-2,5.879211426E-2,3.203957081E-1
2.331128660E-1,-5.801022053E-2,1.223468781E-1,3.509473801E-1
2.381058870E-1,-5.805981159E-2,1.538524628E-1,4.504506588E-1
2.429054180E-1,-1.792186499E-2,1.798553467E-1,5.382168293E-1
2.478017720E-1,-4.324415326E-2,2.213354111E-1,5.548331738E-1
2.526981260E-1,-2.999454737E-2,2.361116409E-1,5.140361786E-1
2.575944290E-1,-2.558338642E-2,2.180128098E-1,4.569044113E-1
2.624907310E-1,-1.570609212E-2,1.911897659E-1,4.535520077E-1
2.673870850E-1,-4.441758990E-2,1.465053558E-1,4.163515568E-1
2.722833870E-1,-5.908757448E-2,1.007165909E-1,3.016977310E-1
2.771796890E-1,-5.971163511E-2,2.821540833E-2,1.251327991E-1
2.820760430E-1,-1.093699932E-1,-3.304386139E-2,3.942584991E-2
2.869723450E-1,-1.015712917E-1,-1.184082031E-1,2.572846413E-2
2.918686470E-1,-8.172419667E-2,-2.367258072E-1,1.909708977E-2
2.967649490E-1,-8.243739605E-2,-3.639326096E-1,-6.265306473E-2
3.016613040E-1,-6.078290939E-2,-4.321222305E-1,-1.759092808E-1
3.065576060E-1,-3.100752831E-2,-4.333419800E-1,-2.546117306E-1
3.114539080E-1,-7.045745850E-3,-4.158878326E-1,-3.558335304E-1
3.163502620E-1,1.611980796E-2,-4.059209824E-1,-4.627504349E-1
3.212465640E-1,1.287585497E-2,-3.822126389E-1,-5.119709969E-1
3.261428660E-1,1.404646039E-2,-3.637924194E-1,-4.999513626E-1
3.310392200E-1,9.969890118E-3,-3.716135025E-1,-4.936254025E-1
3.359355220E-1,-2.992075682E-2,-3.699932098E-1,-5.560741425E-1
3.408318240E-1,-1.030139327E-1,-3.520936966E-1,-5.215308666E-1
3.457281790E-1,-1.292346418E-1,-3.440513611E-1,-3.635387421E-1
3.506244810E-1,-1.733850092E-1,-3.715238571E-1,-2.157053947E-1
3.555207830E-1,-2.214633077E-1,-3.469285965E-1,-1.434700489E-1
3.604170850E-1,-2.762095034E-1,-3.182163239E-1,-1.640999317E-1
3.653134390E-1,-3.048908710E-1,-2.666492462E-1,-2.405679226E-1
3.702281790E-1,-3.010332584E-1,-2.420511246E-1,-2.588126659E-1
3.751060430E-1,-3.479580283E-1,-2.393550873E-1,-6.879544258E-2
3.800023970E-1,-3.605401516E-1,-2.819280624E-1,4.609770775E-1
3.848986990E-1,-3.872284591E-1,-2.962284088E-1,1.057409048E0
3.898131790E-1,-4.802074134E-1,-2.592897415E-1,1.449324608E0
3.946913560E-1,-5.161168575E-1,-3.014879227E-1,1.644990444E0
3.996058350E-1,-4.342297912E-1,-3.674278259E-1,1.626430988E0
4.044839600E-1,-3.343989849E-1,-4.306926727E-1,1.419928789E0
4.093803140E-1,-2.088900805E-1,-4.912824631E-1,1.148212433E0
4.142766160E-1,-2.863204479E-2,-5.631752014E-1,7.476131916E-1
4.191729180E-1,1.028856635E-1,-6.365394592E-1,1.977057457E-1
4.240692720E-1,1.897477210E-1,-6.639547348E-1,-3.801534176E-1
4.289691680E-1,3.161067367E-1,-7.379598618E-1,-8.448476791E-1
4.338618760E-1,4.491867721E-1,-7.539472580E-1,-1.234159946E0
4.387617720E-1,6.040389538E-1,-8.071289062E-1,-1.544805050E0
4.436545330E-1,8.613188267E-1,-9.229259491E-1,-1.733447313E0
4.485508350E-1,1.085338712E0,-1.029638290E0,-1.802059054E0
4.534471370E-1,1.108783722E0,-1.073170662E0,-1.813471198E0
4.583434910E-1,9.786883593E-1,-9.859752655E-1,-1.815251231E0
4.632397930E-1,9.987790585E-1,-8.501596451E-1,-1.582540989E0
4.681360950E-1,1.024508834E0,-6.405458450E-1,-1.093612909E0
4.730324490E-1,8.914222717E-1,-3.795623779E-1,-4.187861681E-1
4.779287510E-1,7.419798970E-1,-1.790618896E-1,1.831142902E-1
4.828250540E-1,6.838531494E-1,-5.013847351E-2,6.238832474E-1
4.877214080E-1,5.539564490E-1,1.049365997E-1,1.135635376E0
4.926177100E-1,3.425096571E-1,3.377866745E-1,1.647233248E0
4.975140120E-1,4.981236160E-2,6.308689117E-1,1.996049166E0
5.024103140E-1,-1.414636970E-1,7.918958664E-1,2.283581018E0
5.073066680E-1,-2.330063432E-1,8.106060028E-1,2.728336096E0
5.122029700E-1,-4.421699941E-1,9.322767258E-1,3.660206556E0
5.170992720E-1,-3.416029811E-1,8.906383514E-1,4.408882141E0
5.219956260E-1,-2.966401279E-1,7.965946198E-1,4.443177223E0
5.268919290E-1,-3.990365267E-1,8.025665283E-1,4.103452682E0
5.317882310E-1,-5.048333406E-1,8.509597778E-1,3.607983828E0
5.366845850E-1,-3.102100790E-1,9.533376694E-1,3.481035471E0
5.415808870E-1,9.050889015E-1,2.209396362E-1,5.199382782E0
5.464771890E-1,1.311704159E0,-3.877487183E-1,5.894255161E0
5.513734910E-1,8.678823709E-1,-6.323347092E-1,5.660902023E0
5.562698450E-1,2.625131309E-1,-6.610021591E-1,5.221339226E0
5.611661470E-1,1.808079779E-1,-6.252202988E-1,4.859440327E0
5.660624490E-1,1.727626324E-1,-4.900703430E-1,4.448657036E0
5.709588040E-1,-3.413681388E-1,-1.308422089E-1,3.818528891E0
5.758551060E-1,-8.955352902E-1,2.630386353E-1,3.362404108E0
5.807514080E-1,-1.136155963E0,4.636049271E-1,3.143176317E0
5.856477620E-1,-1.065267444E0,4.775142670E-1,2.539901972E0
5.905622410E-1,-1.158971548E0,5.201368332E-1,1.216535568E0
5.954403660E-1,-1.476581335E0,7.220649719E-1,-1.699912548E-1
6.003367200E-1,-1.871374369E0,9.111175537E-1,-1.261379957E0
6.052330220E-1,-1.894084573E0,5.255794525E-1,-1.760136843E0
6.101293240E-1,-1.413272262E0,4.103689194E-1,-2.516846418E0
6.150256790E-1,-8.487426043E-1,5.178461075E-1,-2.739771843E0
