"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.469394810E-1,-1.143750072E0,-3.772500229E1,-4.175625229E1
1.569394810E-1,-1.275000095E0,-3.772500229E1,-4.113750076E1
1.669394810E-1,-1.781250119E0,-3.765000153E1,-4.121250153E1
1.769394810E-1,-1.575000048E0,-3.763125229E1,-4.119375229E1
1.869394810E-1,-1.556250095E0,-3.774375153E1,-4.143750000E1
1.969394810E-1,-1.312500000E0,-3.783750153E1,-4.136250305E1
2.069394810E-1,-1.218750000E0,-3.778125000E1,-4.121250153E1
2.169394810E-1,-1.162500024E0,-3.795000076E1,-4.117500305E1
2.269394810E-1,-1.125000000E0,-3.781875229E1,-4.106250000E1
2.369394810E-1,-1.087500095E0,-3.766875076E1,-4.106250000E1
2.469394810E-1,-6.750000119E-1,-3.765000153E1,-4.104375076E1
2.569394810E-1,-5.625000000E-1,-3.765000153E1,-4.095000076E1
2.669394810E-1,-4.312500060E-1,-3.753750229E1,-4.066875076E1
2.769394810E-1,-5.250000358E-1,-3.757500076E1,-4.076250076E1
2.869394810E-1,-5.812500119E-1,-3.748125076E1,-4.078125000E1
2.969394810E-1,-6.562500000E-1,-3.721875000E1,-4.061250305E1
3.069394810E-1,-7.312500477E-1,-3.727500153E1,-4.065000153E1
3.169394810E-1,-7.312500477E-1,-3.727500153E1,-4.080000305E1
3.269394810E-1,-9.187500477E-1,-3.720000076E1,-4.070625305E1
3.369394810E-1,-9.750000238E-1,-3.731250000E1,-4.072500229E1
3.469394810E-1,-1.031250000E0,-3.731250000E1,-4.080000305E1
3.569394810E-1,-1.012500048E0,-3.740625000E1,-4.063125229E1
3.669394810E-1,-9.562500119E-1,-3.763125229E1,-4.057500076E1
3.769394810E-1,-9.187500477E-1,-3.787500000E1,-4.066875076E1
3.869394810E-1,-8.625000119E-1,-3.795000076E1,-4.042500305E1
3.969394810E-1,-6.562500000E-1,-3.819375229E1,-4.020000076E1
